,,,,
관리번호,공원명,소재지지번주소,위도,경도
41220-00287,상서재 2호 수변공원(동삭2지구),경기도 평택시 칠원동 451-2,37.027392,127.115756
41220-00288,소풍정원,경기도 평택시 고덕면 궁리 424-25,37.011844,127.020575
41220-00289,수변공원 10호(고덕국제화지구 율포리),경기도 평택시 고덕동 1987-3,37.0435086102,127.0468974670
41220-00290,수변공원 11호(고덕국제화지구 여염리),경기도 평택시 고덕동 2116-2,37.042913,127.0474583269
41220-00291,수변공원 12호(고덕국제화지구 율포리),경기도 평택시 고덕동 1968-2,37.0464095955,127.0475877237
41220-00292,수변공원 13호(고덕국제화지구  장당동),경기도 평택시 고덕동 1968-5,37.0461307930,127.0488317580
41220-00293,수변공원 14호(고덕국제화지구  율포리),경기도 평택시 고덕면 율포리 2-6목,37.049900,127.043385
41220-00294,수변공원 15호(고덕국제화지구  장당동),경기도 평택시 장당동 524-58답,37.049070,127.052502
41220-00295,수변공원 1호(고덕국제화지구 해창리),경기도 평택시 고덕면 해창리 99답,37.027325,127.029194
41220-00250,견산3리 마을쉼터,경기도 평택시 진위면 견산리 372 396 373,37.109004,127.072384
41220-00251,견산5리 마을쉼터,경기도 평택시 진위면 견산리 439-2,37.107212,127.072677
41220-00252,고덕당현1리 마을쉼터,경기도 평택시 고덕면 당현리 341-1,37.065287,127.033445
41220-00253,고덕문화마을2 마을쉼터,경기도 평택시 고덕면 해창리 1148-4,37.038078,127.014455
41220-00254,마두1리 마을쉼터,경기도 평택시 서탄면 마두리 40-3,37.109829,127.023405
41220-00255,마산1리 마을쉼터,경기도 평택시 진위면 마산리 829-1,37.084656,127.084434
41220-00256,목천 마을쉼터,경기도 평택시 신장동 327-15 327-14 326-5~7,37.083503,127.054172
41220-00257,문곡1리 마을쉼터,경기도 평택시 고덕면 문곡리 419 419-1,37.066241,127.011993
41220-00258,수월암2리 마을쉼터,경기도 평택시 서탄면 수월암리 406 409 434-1,37.118986,127.034179
41220-00259,신리 마을쉼터,경기도 평택시 진위면 신리 126-3,37.097397,127.071037
41220-00260,신흥 마을쉼터,경기도 평택시 신장동 646-8,37.086660,127.057540
41220-00261,적봉 마을쉼터,경기도 평택시 서정동 972,37.077714,127.042113
41220-00262,하북3리 마을쉼터,경기도 평택시 진위면 하북리 187-12,37.104372,127.058457
41220-00263,하북2리 마을쉼터,경기도 평택시 진위면 하북리 350-11,37.099001,127.049593
41220-00264,회화리 마을쉼터,경기도 평택시 서탄면 회화리 133,37.095060,127.022973
41220-00266,부락산 문화공원(동부 130호),경기도 평택시 지산동 519-4,37.071400,127.075284
41220-00468,문화공원 1호(황해경제구역 현덕지구),경기도 평택시 현덕면 장수리 300-9,36.936623,126.905903
41220-00267,고덕문화마을1 소공원,경기도 평택시 고덕면 해창리 1141-1,37.040265,127.014809
41220-00268,금암2리 마을쉼터,경기도 평택시 서탄면 금암리 469-8,37.110578,127.036043
41220-00269,동부19호 소공원,경기도 평택시 도일동 525,37.053000,127.106322
41220-00270,상서재1호 소공원(동삭2지구),경기도 평택시 칠원동 334-4,37.019276,127.106952
41220-00271,상서재2호 소공원(동삭2지구),경기도 평택시 칠원동 337-1,37.019323,127.106823
41220-00230,송탄 근린공원(지산초록공원),경기도 평택시 지산동 산 182-3,37.078655,127.059925
41220-00231,수촌 근린공원(수촌지구),경기도 평택시 칠원동 313-1,37.019440,127.109343
41220-00232,신장 근린공원,경기도 평택시 신장동 370-2,37.085894,127.051198
